Longitude,Latitude,Hour,Weekday,Weekend,Final Noise Complaint Category
-73.92359,40.86685084,0,0,1,0.12
-73.97609401,40.77717631,0,0,1,0.0
-73.96705337,40.76910729,0,0,1,0.0
-73.95034426,40.79483045,0,0,1,0.04
-73.93033949,40.85021124,0,0,1,0.0
-73.95421092,40.82304781,0,0,1,0.04
-73.97546352,40.72444683,0,0,1,0.0
-73.98721542,40.73609748,0,0,1,0.04
-73.96299329,40.79907855,1,0,1,0.12
-73.97618103,40.73578282,1,0,1,0.0
-73.98638742,40.74429047,1,0,1,0.0
-73.99624586,40.76082282,1,0,1,0.04
-73.93273053,40.85201593,1,0,1,0.0
-73.93661986,40.82555089,1,0,1,0.04
-73.96299329,40.79907855,1,0,1,0.12
-73.99661049,40.76011469,2,0,1,0.0
-73.91881683,40.86742945,2,0,1,0.04
-74.00269973,40.75199026,2,0,1,0.0
-73.96705337,40.76910729,2,0,1,0.0
-74.00198738,40.70761033,2,0,1,0.0
-73.97618103,40.73578282,2,0,1,0.08
-73.98388227,40.73189759,2,0,1,0.36
-73.93988718,40.8205106,2,0,1,0.0
-73.96975264,40.79549317,3,0,1,0.0
-73.94573927,40.81281182,3,0,1,0.0
-73.99463624,40.75680445,3,0,1,0.0
-73.95064239,40.81164202,3,0,1,0.0
-73.98388227,40.73189759,3,0,1,0.04
-73.95023684,40.8080792,3,0,1,0.0
-73.98586356,40.7129947,3,0,1,0.0
-73.93953401,40.84338211,3,0,1,0.0
-73.93001006,40.79916755,4,0,1,0.0
-73.96842414,40.80189077,4,0,1,0.0
-74.00529691,40.73322706,4,0,1,0.0
-73.95205146,40.77627677,4,0,1,0.04
-73.98843338,40.7249841,4,0,1,0.08
-74.0041453,40.72392513,4,0,1,0.0
-73.92149214,40.86758226,5,0,1,0.0
-73.99632948,40.75011283,5,0,1,0.0
-73.97618103,40.73578282,5,0,1,0.04
-73.99470332,40.73030115,6,0,1,0.0
-74.00556016,40.73138257,6,0,1,0.0
-73.99260512,40.71487,7,0,1,0.16
-73.93685606,40.79748898,8,0,1,0.0
-73.92941921,40.85567264,9,0,1,0.04
-73.93762339,40.82271066,9,0,1,0.0
-73.94508763,40.81010796,10,0,1,0.0
-73.94874182,40.83559983,11,0,1,0.0
-73.95137949,40.77682269,11,0,1,0.0
-73.9181238,40.86649302,11,0,1,0.0
-73.94143367,40.82857812,12,0,1,0.0
-73.97618103,40.73578282,13,0,1,0.0
-73.94664702,40.81157163,13,0,1,0.0
-73.94006632,40.80213477,14,0,1,0.0
-73.97987918,40.72532052,14,0,1,0.04
-73.957766,40.77786272,14,0,1,0.0
-73.98306559,40.72251864,15,0,1,0.0
-73.98306559,40.72251864,15,0,1,0.0
-73.93239997,40.85717578,15,0,1,0.0
